81	do you live with anyone else right now
46	do you do any other activities outside of work
46	do you have any hobbies
169	how have you been treating your pain
60	can you tell me more about your back pain
20	i'm going to ask you some more personal questions, i ask all of my patients.
10	how would you describe the pain
74	any allergies
261	are you close with your family
60	can you tell me more about your back pain
20	okay, now i am going to ask you a couple questions about your medical history
183	is the pain at the surface or deeper
303	have you tried anything or seen other physicians about it
125	constipation
104	and does it move anywhere? to your legs or upper back
4	do you work
86	can you tell me more about your need to urinate more often
58	how is your work going
40	and how about your parents
150	did the ibuprofen help the pain
31	so to confirm, your health has been healthy with no history of surgeries, your parents are healthy, you have no siblings or children
42	do you live alone
5	is there anything that makes it better
210	any dizzyness
182	do your parents take any medications
226	okay. so you are 53. are your grandparents still with us
296	has the ibuprofin been helping much
3	does anything make it better or worse
77	do you have any siblings
240	do you notice blood in your urine
52	are you sexually active
3	what makes it better or worse
95	are your sexual partners men, women, or both
52	are you currently sexually active
202	are you in a romantic relationship
60	i'm sorry to hear that. can you tell me more about your back pain
13	hello mr. wilkins, how are you doing today
52	are you sexually active
81	who do you live with at home
151	ok sounds like youve had back pain for the last few days after moving your friends couch. its especcially difficult to lean over and you cant even tie your shoes. you are also urinating more frequently which we can talk about later but i'd like to focus on the back pain right now. is that ok
33	are your immunizations up to date
30	ok, did the back pain just go away on its own 4-5 years ago or did you do something to make it better
103	what was happening when the pain began
74	do you have any allergies
8	oh no, that sounds tough. before we talk about that, is there anything else you'd like to talk about
262	hi! are you mr. jim wilkins
89	okay, i'm sorry to hear that . about how long has the pain persisted
279	has it been getting better or worse, or staying constant
40	how is the health of your parents
92	okay, and how long have you been working as a mechanic
226	are your grandparents still living
156	so the same time as the painful urination
60	ok, great. so could you tell me more about this back pain you are experiencing
18	great. is there anything else you'd like to add to your general health history
71	ok, and do you use any herbal medications
67	how often do you take ibuprofen
8	have you seen any other doctors about this issue
60	tell me more about your back pain
5	have you done anything to try to make it feel better
2	how long ago did this happen
208	do you know how your grandparents passed away
78	i'm sorry to hear that. do you have any children
53	do you feel safe at home
8	i will tell my attending your concerns. is there anything else you would like to share
58	how is your job/
298	what are your allergic reactions
81	who are you living with
280	has your need to urinate been gradually getting worse or better
71	do you take any vitamins
3	is there anything you have done that makes the pain more tolerable
2	okay, so you lifted the couch four or five days ago
32	any previous hospitalizations
106	enjoy the rest of your day.
22	and since then has your back pain been constant, or does it come and go
146	how many alcoholic drinks do you have a week
8	alright, anything else
8	okay. is there anything else
8	have you ever presented to the doctor before for any other problems
91	are you married
52	sure, i understand. are you sexually active
24	ok. if you had to rate it on a scal from 1 to 10, 10 being the worst, what would you give it
226	are your grandparents still living
162	do your grandparents suffer from back pain
39	do you have any other medical problems
33	are you up to date on your vaccines
74	do you have any allergies
22	has it been worsening since that time or constant
48	do you drink
45	what other activities do you do
4	what do you do for work
2	can you tell me when the pain started
202	i see. have you been in any relationships recently
26	does anything else make it better
167	so now i am going to ask you a series of questions and perform teh review of systems and physical examination
2	tell me about how you noticed the pain
78	do you have any children
2	when did this happen
74	do you have any allergies
8	are there any other symptoms associated with your back pain
4	i'm sorry to hear that, what kind of work do you do
22	and is this pain constant throughout the day
18	is there anything else you would like to discuss
300	ok.  so you have been having back pain for a few days since you lifted a couch, correct
18	is there anything else you can tell me about it
51	do you feel generally happy most days
74	ok. any allergies
2	when did you first experience this pain
8	it sounds like you have bad back pain.  is there anything else that you would like to talk about
75	now we'll move on to your family history.
117	how long have you felt the frequent need to urinate
50	do you smoke
50	do you smoke
21	and have you been feeling the pain every day since then
8	are there any other symptoms other than the pain
60	okay. we can talk about these concerns and then i will discuss them with the attending so that we can try to help. can you tell me more about your back pain
76	are your parents alive
24	on a scale of 1 to 10, how severe is your pain
186	how much medicine have you been taking
238	does it hurt when you bend over
171	what do you think the cause of the pain was
37	so what i am hearing is that you are a generally healthy patient who is experiencing back pain
101	hello mr. wilkins, my name is terese and i am the medical student who will be interviewing you today.
45	what do you like to do for fun outside of work
266	oh, no well let's look more into that
5	have you tried anything else to relieve the pain
74	do you have any allergies
48	sure. do you drink alcohol
76	is your mother alive
2	when did your back pain start
226	are your grandparents alive
50	do you smoke cigarettes or use tobacco
66	how has this affected your life
49	do you take any illegal drugs
52	are you sexual active
110	what is your personal life like
160	have you tried any medication for it
52	are you sexually active
20	now, i'd like to ask you some more direct questions.
50	do you smoke tobacco
19	it feels better when you don't move
3	is there anything that makes your back worse
4	what do you do for work
52	are you sexually active
84	okay. i don't have anymore questions for you. do you have any questions for me before i go talk to the attending about your back pain so we can try to get to the bottom of this
161	okay. would you describe it as shooting pain? or just a soreness
31	any surgeries
98	how is your grandparents health
172	how long has this been going on
48	do you drink alcohol
48	do you consume alcoohol
60	please tell me more about your back pain.
32	have you been hospitalized recently
25	have you been feeling more stressed or depressed lately
8	is there anything else you'd like to talk about today
31	any surgeries
202	are you in a relationship
68	what is the dose
171	why do you say that
25	have you ever had any concerning thoughts that you want to talk about
0	next,  i'll be asking you a few more focused questions to get a better idea of how to help you.
167	i'm going ot ask you some personal questions now. i ask these of all of my patients
193	are you religious
26	does anything else seem to help
81	does anyone else live in your  house
86	tell me more
49	okay. do you take any illegal or recreatioanl drugs
84	do you have any other questions
110	ok, and how is your home life
63	that must be difficult
57	where do you work
60	tell me more about your back pain
38	i'm sorry
66	okay. how has this pain been affecting you
66	how is your back pain affecting you
172	when did you notice increased urination
10	could you tell me more about your back pain
208	do you know what any of the died from
78	do you have any children
52	are you sexually active
16	i am going to be running through some questions with you today and then i will go bring my attending back in to help make a plan to address you r needs today
15	after i am finished, you will be able to speak with the doctor, i am just the medical student
53	do you feel safe at home
202	are you currently in a relationship
52	are you sexually active
77	do you have any siblings
3	what makes the pain worse
74	do you have any allergies
5	i am sorry to hear that. is there anything that makes it better
81	who lives at home with you
52	are you sexually active
32	how about any hospitalizations
50	do you smoke
269	have you seen anyone else for this
94	do you use protection
35	any prescriptions
3	have you noticed anything that makes the pain worse
229	how is the pain now compared to when it started
8	of course. are there any other symptoms that you've noticed with the back pain
10	what is the quality of your pain? what does it feel like
40	how is the health of your parents
60	can you tell me more about the back pain
32	any hospitlizations
186	how much ibuprofen
75	are there any genetic conditions that run in your family
45	what do you spend your time doing
84	good to hear. and diet? any concerns with that
172	ok. when did you notice you had to urinate more often
27	have you changed your routine in anyway recently
224	did it come on gradually or suddenly
50	do you smoke
182	tell me more about the back pain 5 years ago
220	have you ever been on any medication
6	any other medications
300	do you lift weights
0	what brings your in today mr. wilkins
31	how about any operations
20	okay. now i just have a few questions about your daily life.
250	what else are you doing to relieve the pain
116	is there a time of the day when it feels worse
53	do you feel safe in your home
2	when did you forst notice the pain
161	that sounds painful
